warning: fbcunn not found. Falling back to cunn	
Using 1-th gpu	
GPU memory 12884705280	
Loading ./data/ptb.train.txt, size of data = 929589	
Loading ./data/ptb.valid.txt, size of data = 73760	
Loading ./data/ptb.test.txt, size of data = 82430	
Network parameters:	
{
  weight_decay : 1e-07
  batch_size : 20
  dropout_x : 0.3
  max_max_epoch : 55
  vocab_size : 10000
  max_epoch : 10
  max_grad_norm : 10
  seq_length : 35
  dropout_o : 0.5
  dropout_h : 0.3
  rnn_size : 1250
  init_weight : 0.04
  dropout_i : 0.5
  layers : 2
  decay : 1.15
  lr : 1
}
Creating a RNN LSTM network.	
Starting training.	
epoch = 0.008, train perp. = 10348.171, wps = 1574, dw:norm() = 120.196, lr = 1.000, since beginning = 0 mins.	
epoch = 2.413, train perp. = 276.397, wps = 1576, dw:norm() = 7.545, lr = 1.000, since beginning = 24 mins.	
epoch = 2.513, train perp. = 270.877, wps = 1577, dw:norm() = 6.896, lr = 1.000, since beginning = 25 mins.	
epoch = 2.613, train perp. = 265.190, wps = 1578, dw:norm() = 7.695, lr = 1.000, since beginning = 26 mins.	
epoch = 2.714, train perp. = 260.646, wps = 1578, dw:norm() = 6.985, lr = 1.000, since beginning = 27 mins.	
epoch = 2.814, train perp. = 256.209, wps = 1579, dw:norm() = 8.794, lr = 1.000, since beginning = 28 mins.	
epoch = 2.914, train perp. = 251.931, wps = 1580, dw:norm() = 8.173, lr = 1.000, since beginning = 29 mins.	
Validation set perplexity : 172.851	
epoch = 3.014, train perp. = 247.954, wps = 1568, dw:norm() = 7.931, lr = 1.000, since beginning = 30 mins.	
epoch = 3.115, train perp. = 243.860, wps = 1569, dw:norm() = 7.443, lr = 1.000, since beginning = 31 mins.	
epoch = 3.215, train perp. = 240.734, wps = 1570, dw:norm() = 6.897, lr = 1.000, since beginning = 32 mins.	
epoch = 3.315, train perp. = 237.140, wps = 1571, dw:norm() = 7.603, lr = 1.000, since beginning = 33 mins.	
epoch = 3.415, train perp. = 233.997, wps = 1571, dw:norm() = 8.326, lr = 1.000, since beginning = 34 mins.	
epoch = 3.515, train perp. = 230.754, wps = 1572, dw:norm() = 8.157, lr = 1.000, since beginning = 35 mins.	
epoch = 3.616, train perp. = 228.148, wps = 1573, dw:norm() = 8.114, lr = 1.000, since beginning = 36 mins.	
epoch = 3.716, train perp. = 225.632, wps = 1573, dw:norm() = 7.819, lr = 1.000, since beginning = 37 mins.	
epoch = 3.816, train perp. = 223.084, wps = 1574, dw:norm() = 9.330, lr = 1.000, since beginning = 38 mins.	
epoch = 3.916, train perp. = 220.228, wps = 1574, dw:norm() = 8.697, lr = 1.000, since beginning = 38 mins.	
Validation set perplexity : 149.750	
epoch = 4.017, train perp. = 217.818, wps = 1566, dw:norm() = 8.665, lr = 1.000, since beginning = 40 mins.	
epoch = 4.117, train perp. = 215.534, wps = 1566, dw:norm() = 8.188, lr = 1.000, since beginning = 41 mins.	
epoch = 4.217, train perp. = 213.535, wps = 1567, dw:norm() = 7.937, lr = 1.000, since beginning = 42 mins.	
epoch = 4.317, train perp. = 211.196, wps = 1568, dw:norm() = 8.532, lr = 1.000, since beginning = 43 mins.	
epoch = 4.417, train perp. = 208.896, wps = 1568, dw:norm() = 7.797, lr = 1.000, since beginning = 44 mins.	
epoch = 4.518, train perp. = 207.094, wps = 1569, dw:norm() = 8.271, lr = 1.000, since beginning = 45 mins.	
epoch = 4.618, train perp. = 205.181, wps = 1570, dw:norm() = 8.315, lr = 1.000, since beginning = 46 mins.	
epoch = 4.718, train perp. = 203.277, wps = 1570, dw:norm() = 8.503, lr = 1.000, since beginning = 47 mins.	
epoch = 4.818, train perp. = 201.493, wps = 1571, dw:norm() = 8.836, lr = 1.000, since beginning = 47 mins.	
epoch = 4.919, train perp. = 199.777, wps = 1571, dw:norm() = 8.351, lr = 1.000, since beginning = 48 mins.	
Validation set perplexity : 134.950	
epoch = 5.019, train perp. = 198.226, wps = 1564, dw:norm() = 9.069, lr = 1.000, since beginning = 50 mins.	
epoch = 5.119, train perp. = 196.736, wps = 1565, dw:norm() = 8.054, lr = 1.000, since beginning = 51 mins.	
epoch = 5.219, train perp. = 195.281, wps = 1565, dw:norm() = 8.065, lr = 1.000, since beginning = 52 mins.	
epoch = 5.320, train perp. = 193.737, wps = 1566, dw:norm() = 8.690, lr = 1.000, since beginning = 53 mins.	
epoch = 5.420, train perp. = 192.567, wps = 1566, dw:norm() = 9.155, lr = 1.000, since beginning = 54 mins.	
epoch = 5.520, train perp. = 190.983, wps = 1567, dw:norm() = 8.443, lr = 1.000, since beginning = 55 mins.	
epoch = 5.620, train perp. = 189.659, wps = 1568, dw:norm() = 8.654, lr = 1.000, since beginning = 55 mins.	
epoch = 5.720, train perp. = 188.404, wps = 1568, dw:norm() = 8.850, lr = 1.000, since beginning = 56 mins.	
epoch = 5.821, train perp. = 187.499, wps = 1569, dw:norm() = 9.865, lr = 1.000, since beginning = 57 mins.	
epoch = 5.921, train perp. = 186.021, wps = 1569, dw:norm() = 9.653, lr = 1.000, since beginning = 58 mins.	
Validation set perplexity : 126.103	
epoch = 6.021, train perp. = 184.907, wps = 1563, dw:norm() = 9.431, lr = 1.000, since beginning = 60 mins.	
epoch = 6.121, train perp. = 183.631, wps = 1564, dw:norm() = 8.595, lr = 1.000, since beginning = 61 mins.	
epoch = 6.222, train perp. = 182.761, wps = 1564, dw:norm() = 9.939, lr = 1.000, since beginning = 62 mins.	
epoch = 6.322, train perp. = 181.497, wps = 1565, dw:norm() = 9.698, lr = 1.000, since beginning = 63 mins.	
epoch = 6.422, train perp. = 180.479, wps = 1565, dw:norm() = 9.647, lr = 1.000, since beginning = 63 mins.	
epoch = 6.522, train perp. = 179.582, wps = 1566, dw:norm() = 9.080, lr = 1.000, since beginning = 64 mins.	
epoch = 6.622, train perp. = 178.455, wps = 1566, dw:norm() = 10.129, lr = 1.000, since beginning = 65 mins.	
epoch = 6.723, train perp. = 177.616, wps = 1567, dw:norm() = 8.538, lr = 1.000, since beginning = 66 mins.	
epoch = 6.823, train perp. = 176.607, wps = 1567, dw:norm() = 10.304, lr = 1.000, since beginning = 67 mins.	
epoch = 6.923, train perp. = 175.807, wps = 1567, dw:norm() = 9.636, lr = 1.000, since beginning = 68 mins.	
Validation set perplexity : 119.973	
epoch = 7.023, train perp. = 174.774, wps = 1562, dw:norm() = 9.595, lr = 1.000, since beginning = 70 mins.	
epoch = 7.124, train perp. = 173.756, wps = 1563, dw:norm() = 9.141, lr = 1.000, since beginning = 71 mins.	
epoch = 7.224, train perp. = 172.809, wps = 1563, dw:norm() = 9.591, lr = 1.000, since beginning = 72 mins.	
epoch = 7.324, train perp. = 172.070, wps = 1564, dw:norm() = 9.848, lr = 1.000, since beginning = 72 mins.	
epoch = 7.424, train perp. = 171.063, wps = 1564, dw:norm() = 9.759, lr = 1.000, since beginning = 73 mins.	
epoch = 7.524, train perp. = 170.194, wps = 1565, dw:norm() = 10.087, lr = 1.000, since beginning = 74 mins.	
epoch = 7.625, train perp. = 169.527, wps = 1565, dw:norm() = 10.225, lr = 1.000, since beginning = 75 mins.	
epoch = 7.725, train perp. = 168.916, wps = 1565, dw:norm() = 10.144, lr = 1.000, since beginning = 76 mins.	
epoch = 7.825, train perp. = 168.329, wps = 1566, dw:norm() = 11.552, lr = 1.000, since beginning = 77 mins.	
epoch = 7.925, train perp. = 167.523, wps = 1566, dw:norm() = 10.737, lr = 1.000, since beginning = 78 mins.	
Validation set perplexity : 120.779	
epoch = 8.026, train perp. = 167.100, wps = 1562, dw:norm() = 10.774, lr = 1.000, since beginning = 80 mins.	
epoch = 8.126, train perp. = 166.616, wps = 1562, dw:norm() = 9.866, lr = 1.000, since beginning = 81 mins.	
epoch = 8.226, train perp. = 166.171, wps = 1563, dw:norm() = 10.054, lr = 1.000, since beginning = 81 mins.	
epoch = 8.326, train perp. = 165.401, wps = 1563, dw:norm() = 10.563, lr = 1.000, since beginning = 82 mins.	
epoch = 8.427, train perp. = 164.721, wps = 1563, dw:norm() = 9.955, lr = 1.000, since beginning = 83 mins.	
epoch = 8.527, train perp. = 164.019, wps = 1564, dw:norm() = 10.503, lr = 1.000, since beginning = 84 mins.	
epoch = 8.627, train perp. = 163.159, wps = 1564, dw:norm() = 10.165, lr = 1.000, since beginning = 85 mins.	
epoch = 8.727, train perp. = 162.406, wps = 1564, dw:norm() = 9.127, lr = 1.000, since beginning = 86 mins.	
epoch = 8.827, train perp. = 161.822, wps = 1565, dw:norm() = 10.578, lr = 1.000, since beginning = 87 mins.	
epoch = 8.928, train perp. = 161.224, wps = 1565, dw:norm() = 10.467, lr = 1.000, since beginning = 88 mins.	
Validation set perplexity : 110.293	
epoch = 9.028, train perp. = 160.386, wps = 1561, dw:norm() = 10.824, lr = 1.000, since beginning = 89 mins.	
epoch = 9.128, train perp. = 159.600, wps = 1562, dw:norm() = 9.749, lr = 1.000, since beginning = 90 mins.	
epoch = 9.228, train perp. = 158.833, wps = 1562, dw:norm() = 10.523, lr = 1.000, since beginning = 91 mins.	
epoch = 9.329, train perp. = 158.186, wps = 1562, dw:norm() = 10.210, lr = 1.000, since beginning = 92 mins.	
epoch = 9.429, train perp. = 157.671, wps = 1563, dw:norm() = 11.443, lr = 1.000, since beginning = 93 mins.	
epoch = 9.529, train perp. = 157.169, wps = 1563, dw:norm() = 9.958, lr = 1.000, since beginning = 94 mins.	
epoch = 9.629, train perp. = 156.898, wps = 1563, dw:norm() = 9.287, lr = 1.000, since beginning = 95 mins.	
epoch = 9.729, train perp. = 156.137, wps = 1564, dw:norm() = 10.644, lr = 1.000, since beginning = 96 mins.	
epoch = 9.830, train perp. = 155.486, wps = 1564, dw:norm() = 11.312, lr = 1.000, since beginning = 97 mins.	
epoch = 9.930, train perp. = 154.976, wps = 1564, dw:norm() = 11.056, lr = 1.000, since beginning = 98 mins.	
Validation set perplexity : 109.336	
epoch = 10.030, train perp. = 154.466, wps = 1561, dw:norm() = 10.240, lr = 1.000, since beginning = 99 mins.	
epoch = 10.130, train perp. = 153.996, wps = 1561, dw:norm() = 10.410, lr = 1.000, since beginning = 100 mins.	
epoch = 10.231, train perp. = 153.618, wps = 1561, dw:norm() = 11.578, lr = 1.000, since beginning = 101 mins.	
epoch = 10.331, train perp. = 153.165, wps = 1562, dw:norm() = 10.510, lr = 1.000, since beginning = 102 mins.	
epoch = 10.431, train perp. = 152.558, wps = 1562, dw:norm() = 11.527, lr = 1.000, since beginning = 103 mins.	
epoch = 10.531, train perp. = 152.013, wps = 1562, dw:norm() = 10.412, lr = 1.000, since beginning = 104 mins.	
epoch = 10.631, train perp. = 151.224, wps = 1562, dw:norm() = 10.101, lr = 1.000, since beginning = 105 mins.	
epoch = 10.732, train perp. = 151.042, wps = 1563, dw:norm() = 10.886, lr = 1.000, since beginning = 106 mins.	
epoch = 10.832, train perp. = 150.567, wps = 1563, dw:norm() = 10.196, lr = 1.000, since beginning = 107 mins.	
epoch = 10.932, train perp. = 150.007, wps = 1563, dw:norm() = 11.364, lr = 1.000, since beginning = 108 mins.	
Validation set perplexity : 105.810	
epoch = 11.032, train perp. = 149.364, wps = 1560, dw:norm() = 10.102, lr = 0.870, since beginning = 109 mins.	
epoch = 11.133, train perp. = 148.543, wps = 1560, dw:norm() = 10.825, lr = 0.870, since beginning = 110 mins.	
epoch = 11.233, train perp. = 147.538, wps = 1561, dw:norm() = 11.779, lr = 0.870, since beginning = 111 mins.	
epoch = 11.333, train perp. = 146.462, wps = 1561, dw:norm() = 11.333, lr = 0.870, since beginning = 112 mins.	
epoch = 11.433, train perp. = 145.630, wps = 1561, dw:norm() = 10.985, lr = 0.870, since beginning = 113 mins.	
epoch = 11.534, train perp. = 144.729, wps = 1562, dw:norm() = 10.866, lr = 0.870, since beginning = 114 mins.	
epoch = 11.634, train perp. = 143.964, wps = 1562, dw:norm() = 10.955, lr = 0.870, since beginning = 115 mins.	
epoch = 11.734, train perp. = 142.953, wps = 1562, dw:norm() = 11.307, lr = 0.870, since beginning = 116 mins.	
epoch = 11.834, train perp. = 141.904, wps = 1562, dw:norm() = 10.479, lr = 0.870, since beginning = 117 mins.	
epoch = 11.934, train perp. = 140.899, wps = 1563, dw:norm() = 9.668, lr = 0.870, since beginning = 118 mins.	
Validation set perplexity : 99.325	
epoch = 12.035, train perp. = 139.923, wps = 1560, dw:norm() = 10.426, lr = 0.756, since beginning = 119 mins.	
epoch = 12.135, train perp. = 139.125, wps = 1560, dw:norm() = 10.375, lr = 0.756, since beginning = 120 mins.	
epoch = 12.235, train perp. = 138.453, wps = 1560, dw:norm() = 11.324, lr = 0.756, since beginning = 121 mins.	
epoch = 12.335, train perp. = 137.688, wps = 1561, dw:norm() = 10.517, lr = 0.756, since beginning = 122 mins.	
epoch = 12.436, train perp. = 136.708, wps = 1561, dw:norm() = 11.548, lr = 0.756, since beginning = 123 mins.	
epoch = 12.536, train perp. = 135.914, wps = 1561, dw:norm() = 10.814, lr = 0.756, since beginning = 124 mins.	
epoch = 12.636, train perp. = 135.014, wps = 1562, dw:norm() = 10.228, lr = 0.756, since beginning = 125 mins.	
epoch = 12.736, train perp. = 134.133, wps = 1562, dw:norm() = 10.530, lr = 0.756, since beginning = 126 mins.	
epoch = 12.836, train perp. = 133.292, wps = 1562, dw:norm() = 11.081, lr = 0.756, since beginning = 127 mins.	
epoch = 12.937, train perp. = 132.545, wps = 1562, dw:norm() = 10.908, lr = 0.756, since beginning = 128 mins.	
Validation set perplexity : 96.620	
epoch = 13.037, train perp. = 131.738, wps = 1560, dw:norm() = 11.250, lr = 0.658, since beginning = 129 mins.	
epoch = 13.137, train perp. = 131.112, wps = 1560, dw:norm() = 10.895, lr = 0.658, since beginning = 130 mins.	
epoch = 13.237, train perp. = 130.298, wps = 1560, dw:norm() = 10.581, lr = 0.658, since beginning = 131 mins.	
epoch = 13.338, train perp. = 129.414, wps = 1561, dw:norm() = 10.703, lr = 0.658, since beginning = 132 mins.	
epoch = 13.438, train perp. = 128.790, wps = 1561, dw:norm() = 10.698, lr = 0.658, since beginning = 133 mins.	
epoch = 13.538, train perp. = 127.877, wps = 1561, dw:norm() = 10.701, lr = 0.658, since beginning = 134 mins.	
epoch = 13.638, train perp. = 127.181, wps = 1561, dw:norm() = 10.728, lr = 0.658, since beginning = 135 mins.	
epoch = 13.739, train perp. = 126.436, wps = 1562, dw:norm() = 10.598, lr = 0.658, since beginning = 136 mins.	
epoch = 13.839, train perp. = 125.796, wps = 1562, dw:norm() = 10.615, lr = 0.658, since beginning = 137 mins.	
epoch = 13.939, train perp. = 124.936, wps = 1562, dw:norm() = 10.341, lr = 0.658, since beginning = 138 mins.	
Validation set perplexity : 93.531	
epoch = 14.039, train perp. = 124.343, wps = 1560, dw:norm() = 10.916, lr = 0.572, since beginning = 139 mins.	
epoch = 14.139, train perp. = 123.582, wps = 1560, dw:norm() = 10.783, lr = 0.572, since beginning = 140 mins.	
epoch = 14.240, train perp. = 122.900, wps = 1560, dw:norm() = 10.909, lr = 0.572, since beginning = 141 mins.	
epoch = 14.340, train perp. = 122.375, wps = 1561, dw:norm() = 11.068, lr = 0.572, since beginning = 142 mins.	
epoch = 14.440, train perp. = 121.668, wps = 1561, dw:norm() = 10.576, lr = 0.572, since beginning = 143 mins.	
epoch = 14.540, train perp. = 121.112, wps = 1561, dw:norm() = 11.675, lr = 0.572, since beginning = 144 mins.	
epoch = 14.641, train perp. = 120.407, wps = 1561, dw:norm() = 9.668, lr = 0.572, since beginning = 145 mins.	
epoch = 14.741, train perp. = 119.928, wps = 1562, dw:norm() = 10.492, lr = 0.572, since beginning = 146 mins.	
epoch = 14.841, train perp. = 119.279, wps = 1562, dw:norm() = 10.444, lr = 0.572, since beginning = 147 mins.	
epoch = 14.941, train perp. = 118.675, wps = 1562, dw:norm() = 10.329, lr = 0.572, since beginning = 148 mins.	
Validation set perplexity : 91.917	
epoch = 15.041, train perp. = 117.928, wps = 1560, dw:norm() = 10.300, lr = 0.497, since beginning = 149 mins.	
epoch = 15.142, train perp. = 117.345, wps = 1560, dw:norm() = 9.855, lr = 0.497, since beginning = 150 mins.	
epoch = 15.242, train perp. = 116.791, wps = 1560, dw:norm() = 10.598, lr = 0.497, since beginning = 151 mins.	
epoch = 15.342, train perp. = 116.159, wps = 1560, dw:norm() = 11.226, lr = 0.497, since beginning = 152 mins.	
epoch = 15.442, train perp. = 115.571, wps = 1561, dw:norm() = 10.688, lr = 0.497, since beginning = 153 mins.	
epoch = 15.543, train perp. = 115.006, wps = 1561, dw:norm() = 10.786, lr = 0.497, since beginning = 154 mins.	
epoch = 15.643, train perp. = 114.373, wps = 1561, dw:norm() = 9.729, lr = 0.497, since beginning = 155 mins.	
epoch = 15.743, train perp. = 113.763, wps = 1561, dw:norm() = 10.734, lr = 0.497, since beginning = 156 mins.	
epoch = 15.843, train perp. = 113.197, wps = 1562, dw:norm() = 10.988, lr = 0.497, since beginning = 157 mins.	
epoch = 15.943, train perp. = 112.600, wps = 1562, dw:norm() = 10.416, lr = 0.497, since beginning = 158 mins.	
Validation set perplexity : 90.000	
epoch = 16.044, train perp. = 112.195, wps = 1560, dw:norm() = 10.264, lr = 0.432, since beginning = 159 mins.	
epoch = 16.144, train perp. = 111.715, wps = 1560, dw:norm() = 10.129, lr = 0.432, since beginning = 160 mins.	
epoch = 16.244, train perp. = 111.231, wps = 1560, dw:norm() = 10.396, lr = 0.432, since beginning = 161 mins.	
epoch = 16.344, train perp. = 110.769, wps = 1560, dw:norm() = 11.106, lr = 0.432, since beginning = 162 mins.	
epoch = 16.445, train perp. = 110.460, wps = 1561, dw:norm() = 10.624, lr = 0.432, since beginning = 163 mins.	
epoch = 16.545, train perp. = 109.923, wps = 1561, dw:norm() = 10.598, lr = 0.432, since beginning = 164 mins.	
epoch = 16.645, train perp. = 109.524, wps = 1561, dw:norm() = 10.696, lr = 0.432, since beginning = 165 mins.	
epoch = 16.745, train perp. = 109.128, wps = 1561, dw:norm() = 10.695, lr = 0.432, since beginning = 166 mins.	
epoch = 16.846, train perp. = 108.720, wps = 1561, dw:norm() = 9.961, lr = 0.432, since beginning = 167 mins.	
epoch = 16.946, train perp. = 108.229, wps = 1562, dw:norm() = 11.015, lr = 0.432, since beginning = 168 mins.	
Validation set perplexity : 88.432	
epoch = 17.046, train perp. = 107.786, wps = 1560, dw:norm() = 10.427, lr = 0.376, since beginning = 169 mins.	
epoch = 17.146, train perp. = 107.399, wps = 1560, dw:norm() = 10.283, lr = 0.376, since beginning = 170 mins.	
epoch = 17.246, train perp. = 107.085, wps = 1560, dw:norm() = 10.244, lr = 0.376, since beginning = 171 mins.	
epoch = 17.347, train perp. = 106.747, wps = 1560, dw:norm() = 11.545, lr = 0.376, since beginning = 172 mins.	
epoch = 17.447, train perp. = 106.313, wps = 1561, dw:norm() = 10.666, lr = 0.376, since beginning = 173 mins.	
epoch = 17.547, train perp. = 105.816, wps = 1561, dw:norm() = 10.754, lr = 0.376, since beginning = 174 mins.	
epoch = 17.647, train perp. = 105.362, wps = 1561, dw:norm() = 10.128, lr = 0.376, since beginning = 175 mins.	
epoch = 17.748, train perp. = 104.864, wps = 1561, dw:norm() = 10.458, lr = 0.376, since beginning = 176 mins.	
epoch = 17.848, train perp. = 104.421, wps = 1561, dw:norm() = 11.034, lr = 0.376, since beginning = 177 mins.	
epoch = 17.948, train perp. = 104.015, wps = 1562, dw:norm() = 10.972, lr = 0.376, since beginning = 178 mins.	
Validation set perplexity : 86.864	
epoch = 18.048, train perp. = 103.619, wps = 1560, dw:norm() = 10.506, lr = 0.327, since beginning = 179 mins.	
epoch = 18.148, train perp. = 103.135, wps = 1560, dw:norm() = 10.297, lr = 0.327, since beginning = 180 mins.	
epoch = 18.249, train perp. = 102.697, wps = 1560, dw:norm() = 10.599, lr = 0.327, since beginning = 181 mins.	
epoch = 18.349, train perp. = 102.262, wps = 1560, dw:norm() = 11.756, lr = 0.327, since beginning = 182 mins.	
epoch = 18.449, train perp. = 101.858, wps = 1561, dw:norm() = 11.150, lr = 0.327, since beginning = 183 mins.	
epoch = 18.549, train perp. = 101.635, wps = 1561, dw:norm() = 10.697, lr = 0.327, since beginning = 184 mins.	
epoch = 18.650, train perp. = 101.348, wps = 1561, dw:norm() = 10.961, lr = 0.327, since beginning = 185 mins.	
epoch = 18.750, train perp. = 100.979, wps = 1561, dw:norm() = 10.696, lr = 0.327, since beginning = 186 mins.	
epoch = 18.850, train perp. = 100.667, wps = 1561, dw:norm() = 10.995, lr = 0.327, since beginning = 187 mins.	
epoch = 18.950, train perp. = 100.257, wps = 1562, dw:norm() = 10.570, lr = 0.327, since beginning = 188 mins.	
Validation set perplexity : 85.543	
epoch = 19.050, train perp. = 99.934, wps = 1560, dw:norm() = 10.510, lr = 0.284, since beginning = 189 mins.	
epoch = 19.151, train perp. = 99.692, wps = 1560, dw:norm() = 10.130, lr = 0.284, since beginning = 190 mins.	
epoch = 19.251, train perp. = 99.372, wps = 1560, dw:norm() = 10.546, lr = 0.284, since beginning = 191 mins.	
epoch = 19.351, train perp. = 98.996, wps = 1560, dw:norm() = 10.781, lr = 0.284, since beginning = 192 mins.	
epoch = 19.451, train perp. = 98.733, wps = 1561, dw:norm() = 10.573, lr = 0.284, since beginning = 193 mins.	
epoch = 19.552, train perp. = 98.332, wps = 1561, dw:norm() = 11.450, lr = 0.284, since beginning = 194 mins.	
epoch = 19.652, train perp. = 97.977, wps = 1561, dw:norm() = 11.142, lr = 0.284, since beginning = 195 mins.	
epoch = 19.752, train perp. = 97.679, wps = 1561, dw:norm() = 10.603, lr = 0.284, since beginning = 196 mins.	
epoch = 19.852, train perp. = 97.383, wps = 1561, dw:norm() = 10.782, lr = 0.284, since beginning = 197 mins.	
epoch = 19.953, train perp. = 97.175, wps = 1562, dw:norm() = 11.447, lr = 0.284, since beginning = 198 mins.	
Validation set perplexity : 85.087	
epoch = 20.053, train perp. = 96.783, wps = 1560, dw:norm() = 10.537, lr = 0.247, since beginning = 199 mins.	
epoch = 20.153, train perp. = 96.550, wps = 1560, dw:norm() = 10.596, lr = 0.247, since beginning = 200 mins.	
epoch = 20.253, train perp. = 96.299, wps = 1560, dw:norm() = 11.043, lr = 0.247, since beginning = 201 mins.	
epoch = 20.353, train perp. = 96.061, wps = 1561, dw:norm() = 11.426, lr = 0.247, since beginning = 202 mins.	
epoch = 20.454, train perp. = 95.697, wps = 1561, dw:norm() = 11.461, lr = 0.247, since beginning = 203 mins.	
epoch = 20.554, train perp. = 95.477, wps = 1561, dw:norm() = 10.913, lr = 0.247, since beginning = 204 mins.	
epoch = 20.654, train perp. = 95.176, wps = 1561, dw:norm() = 11.358, lr = 0.247, since beginning = 205 mins.	
epoch = 20.754, train perp. = 94.970, wps = 1561, dw:norm() = 10.761, lr = 0.247, since beginning = 206 mins.	
epoch = 20.855, train perp. = 94.625, wps = 1561, dw:norm() = 10.888, lr = 0.247, since beginning = 207 mins.	
epoch = 20.955, train perp. = 94.417, wps = 1562, dw:norm() = 11.147, lr = 0.247, since beginning = 208 mins.	
Validation set perplexity : 83.985	
epoch = 21.055, train perp. = 94.269, wps = 1560, dw:norm() = 11.335, lr = 0.215, since beginning = 209 mins.	
epoch = 21.155, train perp. = 94.048, wps = 1560, dw:norm() = 11.143, lr = 0.215, since beginning = 210 mins.	
epoch = 21.255, train perp. = 93.889, wps = 1560, dw:norm() = 10.921, lr = 0.215, since beginning = 211 mins.	
epoch = 21.356, train perp. = 93.687, wps = 1561, dw:norm() = 11.104, lr = 0.215, since beginning = 212 mins.	
epoch = 21.456, train perp. = 93.408, wps = 1561, dw:norm() = 11.165, lr = 0.215, since beginning = 213 mins.	
epoch = 21.556, train perp. = 93.360, wps = 1561, dw:norm() = 11.065, lr = 0.215, since beginning = 214 mins.	
epoch = 21.656, train perp. = 93.190, wps = 1561, dw:norm() = 11.319, lr = 0.215, since beginning = 215 mins.	
epoch = 21.757, train perp. = 92.825, wps = 1561, dw:norm() = 11.322, lr = 0.215, since beginning = 216 mins.	
epoch = 21.857, train perp. = 92.654, wps = 1561, dw:norm() = 11.727, lr = 0.215, since beginning = 217 mins.	
